order_date, order_week, distribution_center, sales_order, pool, item_number, mold, order_quantity, ship_month, week_ship, production_department, cast_completed, cast_shortage, casting_deadline, export_to_ie, pending_export, remarks
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,288307,,800.0,Jan,W5,Cell-5,,-800,,,-800,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,286317C01,,300.0,Jan,W5,Cell-5,,-300,,,-300,
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,286317C01,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,286318CZ,,100.0,Jan,W5,Cell-5,,-100,,,-100,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163262C00-50,,100.0,Jan,W5,Cell-1,,-100,,,-100,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163262C00-52,,150.0,Jan,W5,Cell-1,,-150,,,-150,
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,163262C00-52,,50.0,Jan,W5,Cell-1,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163262C00-54,,250.0,Jan,W5,Cell-1,,-250,,,-250,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163262C00-54,,400.0,Jan,W5,Cell-1,,-400,,,-400,
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,163262C00-54,,50.0,Jan,W5,Cell-1,,-50,,,-50,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163262C00-58,,250.0,Jan,W5,Cell-1,,-250,,,-250,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163285C01-48,,50.0,Jan,W5,Cell-1,,-50,,,-50,
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,163285C01-50,,50.0,Jan,W5,Cell-1,,-50,,,-50,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163285C01-58,,50.0,Jan,W5,Cell-1,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163285C01-60,,50.0,Jan,W5,Cell-1,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163288C00-48,,500.0,Jan,W5,Cell-5,,-500,,,-500,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163288C00-50,,1100.0,Jan,W5,Cell-5,,-1100,,,-1100,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163288C00-52,,1550.0,Jan,W5,Cell-5,,-1550,,,-1550,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163288C00-52,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163288C00-54,,1900.0,Jan,W5,Cell-5,,-1900,,,-1900,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163288C00-54,,250.0,Jan,W5,Cell-5,,-250,,,-250,
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,163288C00-54,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163288C00-56,,1550.0,Jan,W5,Cell-5,,-1550,,,-1550,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163288C00-58,,1050.0,Jan,W5,Cell-5,,-1050,,,-1050,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163288C00-60,,300.0,Jan,W5,Cell-5,,-300,,,-300,
